word,pronunciation,meaning,description_en,example,word_type,collocation,related_words,note,deck_name,deck_tag
rejuvenate,/rɪˈʤuvəˌneɪt/,trẻ hóa,"To make someone or something look or feel younger, fresher, or more lively; to restore to a former state or give new energy and vigor to.",The comprehensive conservation plan aims to rejuvenate the degraded wetland ecosystem by reintroducing native flora and improving water flow dynamics.,verb,"to rejuvenate, and rejuvenate, can rejuvenate","revitalize, regenerate",,Environmental Science,IELTS 7.5+
belligerent,/bəˈlɪʤərənt/,hiếu chiến,Hostile and aggressive; engaged in or ready for warfare or conflict.,The belligerent posture of the empire towards its smaller neighbors was a primary catalyst for the decades-long conflict that ultimately led to its fragmentation.,adjective,"the belligerent, a belligerent, of belligerent","hostile, aggressive",,History,IELTS 7.5+
oscillation,/ˌɑsəˈleɪʃən/,dao động,A regular variation in magnitude or position around a central point; a repetitive back-and-forth movement or fluctuation between two states.,The precise measurement of a pendulum's oscillation was fundamental to the development of accurate timekeeping devices and the study of gravitational forces.,noun,"of oscillation, the oscillation, an oscillation","fluctuation, vibration",,Physics,IELTS 7.5+
eradicate,/ɪˈrædəˌkeɪt/,diệt trừ,"To destroy or get rid of something completely, especially something bad or harmful.","The World Health Organization's global vaccination campaign successfully managed to eradicate smallpox by 1980, a monumental achievement in public health history.",verb,"to eradicate, not eradicate, and eradicate","eliminate, annihilate",,Biology,IELTS 7.5+
meticulous,/məˈtɪkjələs/,tỉ mỉ,Showing great attention to detail; being very careful and precise.,"The archaeologist's meticulous excavation of the burial site revealed a complex arrangement of artifacts, providing unprecedented insight into the society's funerary rituals.",adjective,"a meticulous, the meticulous, and meticulous","thorough, scrupulous",,Archaeology,IELTS 7.5+
impetus,/ˈɪmpətəs/,sự thúc đẩy,A force that makes something happen or happen more quickly; a driving force or motivation.,"The publication of Rachel Carson's 'Silent Spring' in 1962 provided the impetus for the modern environmental movement, raising widespread public concern over the use of pesticides.",noun,"the impetus, an impetus, new impetus","stimulus, catalyst",,History,IELTS 7.5+
sovereign,/ˈsɑvrən/,có chủ quyền,"Possessing supreme or ultimate power; acting or done independently and without outside interference, especially in the context of a state or its governing body.","The Westphalian system is predicated on the principle that each state is sovereign over its territory and domestic affairs, to the exclusion of all external powers.",adjective,"the sovereign, a sovereign, his sovereign","autonomous, independent",,Political Science,IELTS 7.5+
nomenclature,/ˈnoʊmənˌkleɪʧər/,danh pháp,"A system of names or terms, or the rules for forming these terms in a particular field of arts or sciences.","The Linnaean system of binomial nomenclature, established in the 18th century, provided a standardized framework for classifying and naming organisms, which revolutionized the field of biology.",noun,"the nomenclature, of nomenclature, and nomenclature","terminology, taxonomy",,Biology,IELTS 7.5+
empirical,/ˌɛmˈpɪrɪkəl/,thực nghiệm,"Based on, concerned with, or verifiable by observation or experience rather than theory or pure logic.","The sociologist's conclusions were not based on mere speculation, but on extensive empirical research involving surveys and interviews with hundreds of participants.",adjective,"the empirical, an empirical, of empirical","observational, experiential",,Sociology,IELTS 7.5+
ostentatious,/ˌɑstənˈteɪʃəs/,phô trương,"Characterized by a vulgar or pretentious display; designed to impress or attract notice, often through excessive wealth or luxury.","The Gilded Age in American history is often characterized by the ostentatious displays of wealth by newly rich industrialists, whose lavish mansions were meant to solidify their social standing.",adjective,"the ostentatious, an ostentatious, and ostentatious","pretentious, flamboyant",,Sociology,IELTS 7.5+
perpetrate,/ˈpərpəˌtreɪt/,phạm tội,"To carry out or commit a harmful, illegal, or immoral action.",The investigation sought to identify the individuals who perpetrated the sophisticated cyber-attack against the nation's critical infrastructure.,verb,"to perpetrate, who perpetrate, and perpetrate","commit, execute",,Criminology,IELTS 7.5+
prolific,/proʊˈlɪfɪk/,sung mãn,"Producing a great number or amount of something, such as works, fruit, or offspring.",The Victorian era was characterized by a number of prolific authors whose serialized novels captivated a rapidly growing literate public.,adjective,"a prolific, most prolific, the prolific","productive, fecund",,Literature,IELTS 7.5+
obviate,/ˈɑbviˌeɪt/,loại bỏ,To remove a need or difficulty; to prevent or avoid something undesirable.,"The development of a robust digital infrastructure is intended to obviate the need for physical data storage, thereby reducing operational costs and increasing efficiency.",verb,"to obviate, would obviate, not obviate","preclude, prevent",,Engineering,IELTS 7.5+
detrimental,/ˌdɛtrəˈmɛnəl/,có hại,Tending to cause harm or injury; damaging.,"The runoff of agricultural fertilizers into rivers has a detrimental effect on aquatic ecosystems, leading to algal blooms that deplete oxygen levels.",adjective,"be detrimental, is detrimental, a detrimental","harmful, damaging",,Environmental Science,IELTS 7.5+
supersede,/ˌsupərˈsid/,thay thế,To take the place of something or someone previously in authority or use; to replace it because it is more modern or effective.,"A fundamental principle of statutory interpretation holds that a later, more specific law will supersede an earlier, more general one when the two are in direct conflict.",verb,"to supersede, not supersede, will supersede","replace, supplant",,Law,IELTS 7.5+
versatility,/ˌvərsəˈtɪləti/,tính linh hoạt,The quality of being able to adapt or be adapted to many different functions or activities.,"The versatility of graphene, a single layer of carbon atoms, is evident in its potential applications across diverse fields, including electronics, energy storage, and biomedical engineering, owing to its exceptional strength and conductivity.",noun,"the versatility, and versatility, his versatility","adaptability, flexibility",,Materials Science,IELTS 7.5+
pervade,/pərˈveɪd/,tràn ngập,"To spread through and be present in every part of something, especially a quality, feeling, or smell.",A sense of deep-seated anxiety began to pervade the society as economic instability and political uncertainty became the new norm.,verb,"to pervade, that pervade, which pervade","permeate, suffuse",,Sociology,IELTS 7.5+
regression,/rəˈgrɛʃən/,hồi quy,"A return to a former or less developed state; in statistics, a measure of the relation between the mean value of one variable and corresponding values of other variables.","In statistical modeling, regression analysis is a set of statistical processes for estimating the relationships between a dependent variable and one or more independent variables.",noun,"the regression, multiple regression, linear regression","reversion, retrogression",,Statistics,IELTS 7.5+
aberration,/ˌæbərˈeɪʃən/,quang sai,"A departure from what is normal, usual, or expected, typically one that is unwelcome or causes a problem.","The initial images from the Hubble Space Telescope were blurry due to a spherical aberration in its primary mirror, a flaw that was later corrected by a special optics package.",noun,"an aberration, spherical aberration, chromatic aberration","anomaly, deviation",,Astronomy,IELTS 7.5+
intrinsic,/ˌɪnˈtrɪnsɪk/,nội tại,Belonging to the essential nature or constitution of a thing; originating from within.,"The intrinsic value of something is said to be the value that that thing has 'in itself,' or 'for its own sake,' or 'as such,' or 'in its own right.'",adjective,"the intrinsic, an intrinsic, of intrinsic","inherent, innate",,Philosophy,IELTS 7.5+
disseminate,/dɪˈsɛməˌneɪt/,phổ biến,"To spread or give out something, especially news, information, or ideas, to a large number of people.",The primary objective of the research foundation is to disseminate its findings to policymakers and the academic community to foster evidence-based decision-making.,verb,"to disseminate, and disseminate, or disseminate","spread, circulate",,Communication Studies,IELTS 7.5+
statutory,/ˈstæʧəˌtɔri/,theo luật định,"Required, permitted, or enacted by a statute, which is a formal written law passed by a legislative body.",The court's interpretation of the statutory language was crucial in determining the outcome of the case concerning environmental regulations.,adjective,"the statutory, a statutory, of statutory","legislated, legal",,Law,IELTS 7.5+
postulate,/ˈpɑsʧəˌleɪt/,định đề,"To suggest or assume the existence, fact, or truth of something as a basis for reasoning, discussion, or belief.","In his theory of special relativity, Einstein would postulate that the speed of light in a vacuum is the same for all observers, regardless of the motion of the light source or observer.",verb,"to postulate, the postulate, a postulate","posit, hypothesize",,Philosophy,IELTS 7.5+
expedite,/ˈɛkspɪˌdaɪt/,xúc tiến,To make an action or process happen sooner or be accomplished more quickly.,The adoption of automated workflow systems was a strategic move to expedite the processing of client requests and reduce operational backlogs.,verb,"to expedite, and expedite, will expedite","accelerate, hasten",,Business Administration,IELTS 7.5+
stagnation,/stægˈneɪʃən/,sự trì trệ,"A state of inactivity, a lack of development, growth, or progress.","In development economics, a poverty trap is a self-reinforcing mechanism which causes poverty to persist, often characterized by prolonged periods of economic stagnation.",noun,"the stagnation, of stagnation, economic stagnation","inactivity, stasis",,Economics,IELTS 7.5+
feasibility,/ˌfizəˈbɪləti/,tính khả thi,The quality of being possible and likely to be achieved or successfully completed.,The technical feasibility of the proposed energy-harvesting system was evaluated through a series of rigorous simulations and prototype tests under controlled laboratory conditions.,noun,"the feasibility, a feasibility, and feasibility","practicability, viability",,Engineering,IELTS 7.5+
intractable,/ˌɪnˈtræktəbəl/,khó chữa,"Extremely difficult or impossible to control, manage, or solve.","The long-standing territorial dispute has evolved into an intractable conflict, characterized by deep-seated animosity and a failure of successive diplomatic negotiations.",adjective,"and intractable, the intractable, an intractable","unmanageable, recalcitrant",,Political Science,IELTS 7.5+
supplant,/səˈplænt/,thay thế,"To take the place of and serve as a substitute for, especially by force, strategy, or superiority.","The Ptolemaic system, which had dominated astronomical thought for over 1,500 years, was eventually supplanted by the heliocentric model proposed by Copernicus.",verb,"to supplant, not supplant, and supplant","replace, supersede",,History,IELTS 7.5+
conjecture,/kənˈʤɛkʧər/,phỏng đoán,An opinion or conclusion formed on the basis of incomplete information; a proposition in mathematics or physics that is unproven.,"For centuries, the Goldbach Conjecture, which posits that every even integer greater than 2 is the sum of two prime numbers, has remained one of the most famous unproven problems in number theory.",noun,"to conjecture, of conjecture, the conjecture","hypothesis, supposition",,Mathematics,IELTS 7.5+
coalesce,/ˌkoʊəˈlɛs/,kết lại,To come together and form one mass or whole; to combine elements into a single entity.,"In cloud physics, the process starts with water molecules in the air that coalesce into tiny droplets around a condensation nucleus.",verb,"to coalesce, and coalesce, may coalesce","unite, merge",,Chemistry,IELTS 7.5+
amenable,/əˈmɛnəbəl/,dễ bảo,(of a person) open and responsive to suggestion; easily persuaded or controlled. (of a thing) susceptible to or capable of being acted upon in a particular way.,"The particular strain of bacteria proved to be highly amenable to the new antibiotic, showing a significant reduction in population within 24 hours of exposure.",adjective,"more amenable, not amenable, are amenable","receptive, responsive",,Biology,IELTS 7.5+
herbivorous,/ərˈbɪˌvɔrəs/,ăn cỏ,An adjective describing an animal that feeds on plants.,"The evolution of gigantic body sizes in sauropod dinosaurs was likely linked to their herbivorous diet, which required a massive digestive system to process low-nutrient plant matter.",adjective,"of herbivorous, the herbivorous, and herbivorous","phytophagous, plant-eating",,Biology,IELTS 7.5+
acidification,/əˌsɪdəfəˈkeɪʃən/,axit hóa,"The process of becoming more acidic, characterized by an increase in the concentration of hydrogen ions and a corresponding decrease in pH.","The primary cause of ocean acidification is the uptake of carbon dioxide from the atmosphere, but it can also be caused by other chemical additions or subtractions from the ocean.",noun,"the acidification, of acidification, by acidification","acidulation, pH reduction",,Environmental Science,IELTS 7.5+
ascendancy,/əˈsɛndənsi/,uy thế,The state of having a position of dominant power or influence.,"The 19th century witnessed the ascendancy of the British Empire, whose naval power and industrial capacity allowed it to exert influence across the globe.",noun,"the ascendancy, an ascendancy, protestant ascendancy","supremacy, dominance",,History,IELTS 7.5+
consternation,/ˌkɑnstərˈneɪʃən/,sự sửng sốt,"A feeling of anxiety or dismay, typically at something unexpected.","The unexpected archeological data, which contradicted decades of established theory, was met with consternation by the historical community, prompting an immediate re-evaluation of previous assumptions.",noun,"the consternation, and consternation, in consternation","dismay, perturbation",,Psychology,IELTS 7.5+
posterity,/pɑˈstɛrəti/,hậu thế,"All future generations of people, considered as a collective group.","The meticulous work of the archivists ensures that these invaluable historical documents are preserved for posterity, offering a clear window into the past.",noun,"to posterity, for posterity, of posterity","descendants, future generations",,History,IELTS 7.5+
officious,/officious*/,chính thức,"Assertive of authority in an annoyingly domineering way, especially with regard to petty matters; intrusively enthusiastic in offering help or advice; meddlesome.","In Weber's model of bureaucracy, the potential for an 'iron cage' of rationality emerges when functionaries become overly officious, prioritizing procedural adherence above the substantive goals of the organization.",adjective,"the officious, an officious, and officious","meddlesome, intrusive",,Sociology,IELTS 7.5+
congenital,/kənˈʤɛnətəl/,bẩm sinh,Relating to a disease or physical abnormality present from birth.,"The research identified several genetic mutations responsible for the congenital malformation of the heart, a condition that develops before birth.",adjective,"of congenital, a congenital, with congenital","inborn, innate",,Biology,IELTS 7.5+
secession,/sɪˈsɛʃən/,sự ly khai,The formal act of a state or region withdrawing from a federation or larger political body to become independent.,"The legality of unilateral secession is a contentious issue in international law, often pitting the principle of self-determination against the principle of territorial integrity.",noun,"of secession, the secession, for secession","withdrawal, separation",,Political Science,IELTS 7.5+
anomalous,/əˈnɑmələs/,dị thường,"Deviating from what is standard, normal, or expected.",The Pioneer anomaly was the observed anomalous blueshifted Doppler frequency shifts of the Pioneer 10 and 11 spacecraft when they were more than 20 astronomical units from the Sun.,adjective,"the anomalous, an anomalous, of anomalous","atypical, aberrant",,Astronomy,IELTS 7.5+
vertebrate,/ˈvərtəˌbreɪt/,Động vật có xương sống,"An animal of a large group distinguished by the possession of a backbone or spinal column, including mammals, birds, reptiles, amphibians, and fishes.","The evolution of jaws was a pivotal event in early vertebrate history, fundamentally altering their ecological roles and enabling them to become dominant predators.",noun,"the vertebrate, of vertebrate, in vertebrate","craniate, backboned animal",,Biology,IELTS 7.5+
dormancy,/ˈdɔrmənsi/,sự ngủ đông,"A state of temporary inactivity or suspended animation, characterized by a significant reduction in metabolic rate, growth, and development to conserve energy.","The prolonged dormancy of certain bacterial spores allows them to survive extreme environmental conditions, such as desiccation and high temperatures, for extended periods.",noun,"of dormancy, seed dormancy, the dormancy","inactivity, quiescence",,Biology,IELTS 7.5+
inert,/ˌɪˈnərt/,trơ,Lacking the ability or strength to move; chemically inactive or non-reactive.,The noble gases are the most stable and inert elements due to having the maximum number of valence electrons their outer shell can hold.,adjective,"an inert, the inert, of inert","inactive, unreactive",,Chemistry,IELTS 7.5+
salinity,/səˈlɪnəˌti/,độ mặn,"The concentration of dissolved salts in water, typically expressed in parts per thousand (ppt).","Salinity is an important factor in determining many aspects of the chemistry of natural waters and of biological processes within it, and is a thermodynamic state variable that, along with temperature and pressure, governs physical characteristics like the density and heat capacity of the water.",noun,"the salinity, and salinity, of salinity","saltiness, salt content",,Oceanography,IELTS 7.5+
amplification,/ˌæmpləfəˈkeɪʃən/,khuếch đại,"The process of increasing the volume, strength, or significance of something, such as a sound, an electrical signal, or an idea.","In signal processing, the amplification of a weak radio signal is essential for clear reception and data extraction.",noun,"the amplification, of amplification, an amplification","augmentation, intensification",,Physics,IELTS 7.5+
subversive,/səbˈvərsɪv/,lật đổ,Tending or intended to undermine the power and authority of an established system or institution.,The distribution of pamphlets containing subversive ideas was a common tactic used by revolutionary groups to undermine the monarchy's authority.,adjective,"the subversive, a subversive, and subversive","insurgent, seditious",,Political Science,IELTS 7.5+
inasmuchas,/inasmuchas*/,inasmucha,"A formal conjunction used to introduce a reason, justification, or explanation for a preceding statement; equivalent to 'because' or 'since'.",The contract was declared void inasmuch as one of the signatories was proven to be under duress at the time of its execution.,conjunction,,"since, because",,Law,IELTS 7.5+
preconceive,/ˌprikənˈsiv/,định trước,"To form an opinion or idea about something beforehand, often without sufficient evidence or reason.","In rigorous scientific inquiry, researchers are trained to avoid preconceiving the results, instead allowing the empirical evidence to shape their conclusions without bias.",verb,"to preconceive, not preconceive","prejudge, presuppose",,Psychology,IELTS 7.5+
enmity,/ˈɛnmɪti/,sự thù địch,"A state or feeling of active opposition or hostility; deep-seated, mutual hatred or ill will.","The long-standing enmity between the two city-states, fueled by economic competition and territorial disputes, eventually erupted into a full-scale war that reshaped the geopolitical landscape of the ancient world.",noun,"the enmity, of enmity, and enmity","hostility, antagonism",,History,IELTS 7.5+
reverberate,/rɪˈvərbərət/,dội lại,To be repeated several times as an echo; to have continuing and serious effects or repercussions that spread widely.,"The social and economic consequences of the new legislation continued to reverberate throughout the community, affecting everything from local employment to public services.",verb,"to reverberate, would reverberate, will reverberate","resonate, echo",,Sociology,IELTS 7.5+
suffrage,/ˈsəfrɪʤ/,quyền bầu cử,The right to vote in political elections.,"The passage of the Nineteenth Amendment to the United States Constitution, which granted women national suffrage, was the culmination of a decades-long movement for women's rights.",noun,"universal suffrage, the suffrage, woman suffrage","franchise, the vote",,History,IELTS 7.5+
irreducible,/irreducible*/,không thể rút gọn được,"Not able to be reduced, simplified, or broken down into smaller or simpler components.","Some philosophers hold that consciousness is an irreducible, non-physical feature of the world, distinct from and not explainable by its physical features.",adjective,"the irreducible, an irreducible, and irreducible","fundamental, indivisible",,Philosophy,IELTS 7.5+
inundate,/ˈɪnənˌdeɪt/,tràn ngập,To overwhelm someone with a large quantity of things or people that must be dealt with; to flood an area with water.,"The digital age has caused modern citizens to be inundated with a constant stream of information, making it difficult to discern credible sources from misinformation.",verb,"to inundate, and inundate, would inundate","overwhelm, deluge",,Sociology,IELTS 7.5+
agronomist,/əˈgrɑnəmɪst/,nhà nông học,An expert in the science of soil management and crop production.,"The agronomist developed a new strain of drought-resistant wheat, a breakthrough that could significantly enhance food security in arid regions.",noun,"an agronomist, the agronomist, and agronomist","agricultural scientist, crop scientist",,Agricultural Science,IELTS 7.5+
appendage,/əˈpɛndɪʤ/,phần phụ,"A part that is joined to something larger, especially a limb or other subsidiary part of an animal's body.","The evolution of the arthropod appendage has been a subject of intense debate, with fossil evidence suggesting a common biramous origin for many groups.",noun,"an appendage, the appendage, atrial appendage","limb, extremity",,Biology,IELTS 7.5+
telepathic,/ˌtɛləˈpæθək/,thần giao cách cảm,"Relating to or having the supposed ability to communicate with another person's mind without using speech, writing, or any other normal method of communication.","Despite decades of research into parapsychology, no conclusive evidence has ever been presented to substantiate the existence of a genuinely telepathic connection between individuals.",adjective,"the telepathic, a telepathic, of telepathic","mind-reading, thought-transference",,Psychology,IELTS 7.5+
prehensile,/prehensile*/,có thể kéo được,(chiefly of an animal's limb or tail) capable of grasping or seizing.,"Many New World monkeys possess prehensile tails, which they utilize almost like a fifth limb for enhanced arboreal locomotion and stability.",adjective,"the prehensile, a prehensile, and prehensile","grasping, gripping",,Biology,IELTS 7.5+
cretaceous,/krɪˈteɪʃɪs/,thuộc kỷ Phấn trắng,"Relating to or denoting the last period of the Mesozoic era, between the Jurassic and Tertiary periods, or the system of rocks deposited during it.","The extensive chalk deposits of Western Europe, for which the period is named, are characteristic of the Upper Cretaceous epoch.",adjective,"the cretaceous, upper cretaceous, late cretaceous","chalky, calcareous",,Geology,IELTS 7.5+
desalination,/diˌseɪlɪˈneɪʃən/,khử muối,"The process of removing salt and other minerals from a substance, especially from seawater or brackish water, to produce fresh water.","The primary challenge of large-scale desalination is its high energy consumption, which has significant economic and environmental implications, particularly in regions reliant on fossil fuels.",noun,"water desalination, the desalination, of desalination","desalinization, desalting",,Environmental Science,IELTS 7.5+
ferrous,/ˈfɛrəs/,sắt,"Relating to, containing, or derived from iron, typically in the bivalent state (Fe2+).","The transition from an anoxic, ferrous iron-rich ocean to an oxic, iron-poor ocean was a pivotal event in Earth's geochemical history.",adjective,"of ferrous, the ferrous, and ferrous","iron-bearing, ferriferous",,Chemistry,IELTS 7.5+
demobilize,/dɪˈmoʊbəˌlaɪz/,giải ngũ,"To take troops out of active service, typically at the end of a war or conflict.","Following the armistice, the victorious nations faced the monumental logistical challenge to demobilize millions of soldiers and reintegrate them into a peacetime economy.",verb,"to demobilize, and demobilize, not demobilize","disband, decommission",,History,IELTS 7.5+
calorific,/calorific*/,nhiệt lượng,Relating to the amount of energy contained in food or fuel; heat-producing.,"The calorific value of a food item is determined by the amount of energy it releases upon complete combustion, a value crucial for metabolic studies.",adjective,"the calorific, a calorific, of calorific","heat-producing, energy-yielding",,Biology,IELTS 7.5+
impregnate,/ˌɪmˈprɛgˌneɪt/,tẩm bổ,"To make pregnant or fertilize an egg; to cause a substance to be filled, saturated, or soaked with another substance.","In many species of flowering plants, specific pollinators are required to transfer pollen effectively and impregnate the ovules, ensuring successful seed production.",verb,"to impregnate, and impregnate, not impregnate","fertilize, inseminate",,Biology,IELTS 7.5+
conjointly,/conjointly*/,kết hợp,In conjunction with another or others; unitedly or together.,The treaty stipulates that both nations are conjointly responsible for the protection of the shared waterway and its ecological systems.,adverb,"or conjointly, and conjointly, act conjointly","jointly, collectively",,Law,IELTS 7.5+
preposterous,/prɪˈpɑstərəs/,lố bịch,Completely contrary to reason or common sense; utterly absurd or ridiculous.,The notion that the ancient pyramids were built by extraterrestrial beings is a preposterous theory that lacks any credible archaeological evidence.,adjective,"a preposterous, the preposterous, is preposterous","absurd, ludicrous",,History,IELTS 7.5+
enshroud,/ɪnʃˈraʊd/,bọc kín,"To envelop completely and hide from view, often creating a sense of mystery or obscurity.","The dense clouds of sulfuric acid that enshroud Venus obscure its surface from visible light imaging, making direct observation challenging for astronomers.",verb,"to enshroud, that enshroud, and enshroud","envelop, conceal",,Meteorology,IELTS 7.5+
wantonly,/ˈwɔntənli/,bừa bãi,"In a deliberate, cruel, or immoral way, without motive or provocation, and with a reckless disregard for justice or consequences.","During the sack of the city, cultural treasures and libraries were wantonly destroyed by the invading forces, an act condemned by later historians as barbaric.",adverb,"and wantonly, so wantonly, been wantonly","maliciously, recklessly",,History,IELTS 7.5+
quintessence,/kwɪnˈtɛsəns/,tinh hoa,The most perfect or typical example of a quality or class; the pure and concentrated essence of a substance.,"In ancient and medieval philosophy, the quintessence was postulated as the fifth element, a divine substance believed to compose the celestial bodies and distinct from the four terrestrial elements.",noun,"the quintessence, very quintessence, a quintessence","epitome, embodiment",,Philosophy,IELTS 7.5+
urbanity,/urbanity*/,tính đô thị,"The quality of being suave, courteous, and refined in manner; the characteristic of being elegant and sophisticated, often associated with city life.","The transition from rural agrarian societies to industrial centers was marked not only by demographic shifts but also by the cultivation of a distinct urbanity, characterized by new forms of social interaction and cultural expression.",noun,"and urbanity, of urbanity, the urbanity","suavity, sophistication",,Sociology,IELTS 7.5+
deciduous,/ˌdɪˈsɪʤuəs/,rụng lá,"Referring to plants that shed their leaves annually, or to body parts, such as teeth, that are shed at a certain stage of development.","In botany and horticulture, deciduous plants, including trees, shrubs and herbaceous perennials, are those that lose all of their leaves for part of the year.",adjective,"the deciduous, of deciduous, and deciduous","caducous, transient",,Biology,IELTS 7.5+
actuate,/ˈæˌkʧuˈeɪt/,kích hoạt,"To make a machine or device operate, or to cause a process or action to begin.","In advanced robotics, piezoelectric materials are often used to actuate micro-manipulators, allowing for movements on a sub-millimeter scale.",verb,"to actuate, which actuate, that actuate","activate, trigger",,Engineering,IELTS 7.5+
reconnaissance,/riˈkɑnəsəns/,trinh sát,"A preliminary survey or examination of an area to gain information, especially for military purposes or to locate resources.","Before committing to a full-scale invasion, the general ordered a thorough reconnaissance of the coastal defenses to identify any potential weaknesses.",noun,"a reconnaissance, the reconnaissance, and reconnaissance","surveillance, scouting",,Military Science,IELTS 7.5+
substratum,/substratum*/,chất nền,"A layer that lies underneath another; a foundation or basis on which something is built or develops, used in fields like linguistics, geology, and biology.","In historical linguistics, a substratum is a language which has lower power or prestige than another, and its features may be adopted by the dominant language that supplants it.",noun,"the substratum, a substratum, of substratum","underlayer, foundation",,Linguistics,IELTS 7.5+
germicide,/ˈʤərməˌsaɪd/,chất diệt khuẩn,A substance or agent that destroys harmful microorganisms; an antiseptic or disinfectant.,The effectiveness of a germicide is often evaluated by its ability to reduce the microbial population on a surface by a specific logarithmic factor.,noun,"a germicide, the germicide, powerful germicide","disinfectant, antimicrobial agent",,Biology,IELTS 7.5+
acetic,/əˈsɛtɪk/,acetic,"Relating to, derived from, or producing acetic acid or vinegar.","The fermentation process is driven by specific microorganisms, primarily acetic acid bacteria, which convert ethanol into acetic acid under aerobic conditions.",adjective,"of acetic, glacial acetic, and acetic","vinegary, acetous",,Chemistry,IELTS 7.5+
regulation,/ˌrɛgjəˈleɪʃən/,quy định,A rule or directive made and maintained by an authority to control or govern conduct.,The stringent regulation of industrial emissions has led to a significant improvement in air quality in many urban centers.,noun,"the regulation, of regulation, and regulation","rule, directive",,Law,IELTS 7.5+
facilitate,/fəˈsɪləˌteɪt/,tạo điều kiện,To make an action or process easy or easier.,The new pedagogical framework is designed to facilitate student-centered learning by incorporating project-based activities and collaborative technologies.,verb,"to facilitate, and facilitate, will facilitate","enable, promote",,Education,IELTS 7.5+
inevitable,/ˌɪˈnɛvətəbəl/,không thể tránh khỏi,Certain to happen and impossible to avoid or prevent.,"The collapse of the ancient empire, driven by internal decay and external pressures, was seen by many historians as an inevitable outcome of its overexpansion.",adjective,"the inevitable, is inevitable, was inevitable","unavoidable, inescapable",,History,IELTS 7.5+
